Bulgaria,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.2854838709677419,0.67,,,,
1,1801,1.0554838709677419,0.55,,,,
2,1802,1.035483870967742,0.44,,,,
3,1803,-0.044516129032258045,0.33,,,,
4,1804,0.12548387096774194,0.22,,,,
5,1805,-0.6845161290322581,0.11,,,,
6,1806,0.4654838709677419,-0.0,,,,
7,1807,0.635483870967742,-0.11,,,,
8,1808,-0.9345161290322581,-0.22,,,,
9,1809,-0.814516129032258,-0.33,,,,
10,1810,-0.35451612903225804,-0.41,,,,
11,1811,-0.054516129032258054,-0.46,,,,
12,1812,-1.024516129032258,-0.49,,,,
13,1813,-0.8845161290322581,-0.5,,,,
14,1814,-0.6345161290322581,-0.5,,,,
15,1815,-0.7045161290322581,-0.47,,,,
16,1816,-0.9545161290322581,-0.42,,,,
17,1817,-0.3945161290322581,-0.36,,,,
18,1818,-0.014516129032258074,-0.29,,,,
19,1819,-0.03451612903225809,-0.22,,,,
20,1820,-0.24451612903225806,-0.14,,,,
21,1821,-0.1545161290322581,-0.08,,,,
22,1822,0.36548387096774193,-0.04,,,,
23,1823,0.13548387096774192,-0.02,,,,
24,1824,0.9554838709677419,-0.03,,,,
25,1825,-0.07451612903225807,-0.05,,,,
26,1826,-0.06451612903225806,-0.08,,,,
27,1827,0.5854838709677419,-0.12,,,,
28,1828,-0.24451612903225806,-0.16,,,,
29,1829,-1.074516129032258,-0.21,,,,
30,1830,-0.23451612903225805,-0.27,,,,
31,1831,-0.4245161290322581,-0.33,,,,
32,1832,-1.5045161290322582,-0.39,,,,
33,1833,-0.23451612903225805,-0.44,,,,
34,1834,0.21548387096774194,-0.48,,,,
35,1835,-0.7345161290322582,-0.49,,,,
36,1836,-0.06451612903225806,-0.49,,,,
37,1837,-0.9645161290322581,-0.47,,,,
38,1838,-1.044516129032258,-0.45,,,,
39,1839,-0.334516129032258,-0.42,,,,
40,1840,-1.044516129032258,-0.39,,,,
41,1841,0.4854838709677419,-0.36,,,,
42,1842,-0.47451612903225804,-0.32,,,,
43,1843,-0.054516129032258054,-0.28,,,,
44,1844,-0.7145161290322581,-0.23,,,,
45,1845,-0.14451612903225808,-0.18,,,,
46,1846,0.8254838709677419,-0.13,,,,
47,1847,-0.334516129032258,-0.09,,,,
48,1848,0.4654838709677419,-0.06,,,,
49,1849,-0.3145161290322581,-0.04,,,,
50,1850,-0.5345161290322581,-0.04,,,,
51,1851,0.26548387096774195,-0.04,,,,
52,1852,0.07548387096774195,-0.05,,,,
53,1853,0.5554838709677419,-0.05,,,,
54,1854,-0.25451612903225806,-0.05,,,,
55,1855,0.14548387096774193,-0.03,,,,
56,1856,-0.3045161290322581,-0.02,,,,
57,1857,-0.5645161290322581,-0.01,,,,
58,1858,-1.0045161290322582,-0.01,,,,
59,1859,0.525483870967742,-0.01,,,,
60,1860,0.645483870967742,-0.01,,,,
61,1861,-0.23451612903225805,0.0,,,,
62,1862,0.17548387096774193,0.02,,,,
63,1863,0.7554838709677419,0.04,,,,
64,1864,-0.7245161290322581,0.05,,,,
65,1865,-0.13451612903225807,0.07,,,,
66,1866,0.26548387096774195,0.07,,,,
67,1867,0.025483870967741906,0.07,,,,
68,1868,0.15548387096774194,0.06,,,,
69,1869,0.38548387096774195,0.05,,,,
70,1870,-0.47451612903225804,0.05,,,,
71,1871,-0.5345161290322581,0.06,,,,
72,1872,1.115483870967742,0.06,,,,
73,1873,0.695483870967742,0.05,,,,
74,1874,-0.14451612903225808,0.04,,,,
75,1875,-1.264516129032258,0.02,,,,
76,1876,0.11548387096774193,-0.0,,,,
77,1877,0.07548387096774195,-0.03,,,,
78,1878,0.49548387096774194,-0.05,,,,
79,1879,0.15548387096774194,-0.06,,,,
80,1880,-0.454516129032258,-0.08,,,,
81,1881,-0.814516129032258,-0.1,,,,
82,1882,0.22548387096774192,-0.11,,,,
83,1883,-0.38451612903225807,-0.12,,,,
84,1884,-0.614516129032258,-0.14,,,,
85,1885,0.22548387096774192,-0.15,,,,
86,1886,0.3454838709677419,-0.16,,,,
87,1887,0.20548387096774193,-0.16,,,,
88,1888,-0.804516129032258,-0.14,,,,
89,1889,-0.3045161290322581,-0.13,,,,
90,1890,-0.054516129032258054,-0.11,,,,
91,1891,-0.2845161290322581,-0.1,,,,
92,1892,0.5554838709677419,-0.07,,,,
93,1893,-0.9945161290322582,-0.04,,,,
94,1894,-0.21451612903225803,-0.02,,,,
95,1895,0.12548387096774194,0.02,,,,
96,1896,0.035483870967741915,0.05,,,,
97,1897,0.025483870967741906,0.07,,,,
98,1898,0.515483870967742,0.09,,,,
99,1899,0.24548387096774194,0.09,,,,
100,1900,0.6054838709677419,0.09,,,,
101,1901,0.14548387096774193,0.08,,,,
102,1902,-0.324516129032258,0.07,,,,
103,1903,0.4154838709677419,0.06,,,,
104,1904,-0.13451612903225807,0.04,,,,
105,1905,-0.14451612903225808,0.02,,,,
106,1906,0.045483870967741924,-0.01,,,,
107,1907,-0.6345161290322581,-0.04,,,,
108,1908,-0.19451612903225812,-0.05,,,,
109,1909,0.14548387096774193,-0.04,,,,
110,1910,0.535483870967742,-0.01,,,,
111,1911,-0.014516129032258074,0.03,,,,
112,1912,-0.35451612903225804,0.07,,,,
113,1913,-0.19451612903225812,0.1,,,,
114,1914,-0.5445161290322581,0.13,,,,
115,1915,0.44548387096774195,0.15,,,,
116,1916,1.2554838709677418,0.18,,,,
117,1917,0.3554838709677419,0.2,,,,
118,1918,0.8154838709677419,0.23,,,,
119,1919,0.10548387096774192,0.28,,,,
120,1920,-0.22451612903225804,0.32,,,,
121,1921,0.005483870967741944,0.35,,,,
122,1922,0.18548387096774194,0.36,,,,
123,1923,1.2754838709677419,0.35,,,,
124,1924,-0.09451612903225809,0.34,,,,
125,1925,0.5754838709677419,0.33,,,,
126,1926,0.705483870967742,0.33,,,,
127,1927,0.9554838709677419,0.33,,,,
128,1928,0.025483870967741906,0.35,,,,
129,1929,-0.584516129032258,0.37,,,,
130,1930,0.8354838709677419,0.39,,,,
131,1931,0.045483870967741924,0.41,,,,
132,1932,0.14548387096774193,0.42,,,,
133,1933,-1.054516129032258,0.42,,,,
134,1934,1.0254838709677419,0.4,,,,
135,1935,0.2954838709677419,0.38,,,,
136,1936,1.0654838709677419,0.35,,,,
137,1937,0.9754838709677419,0.32,,,,
138,1938,0.525483870967742,0.3,,,,
139,1939,0.7554838709677419,0.29,,,,
140,1940,-0.9345161290322581,0.28,,,,
141,1941,-0.36451612903225805,0.27,,,,
142,1942,-0.764516129032258,0.24,,,,
143,1943,0.11548387096774193,0.23,,,,
144,1944,-0.07451612903225807,0.23,,,,
145,1945,0.23548387096774193,0.25,,,,
146,1946,0.8154838709677419,0.28,,,,
147,1947,0.6254838709677419,0.33,,,,
148,1948,0.12548387096774194,0.37,,,,
149,1949,0.015483870967741953,0.4,,,,
150,1950,1.125483870967742,0.42,,,,
151,1951,1.125483870967742,0.42,,,,
152,1952,1.145483870967742,0.43,,,,
153,1953,-0.03451612903225809,0.44,,,,
154,1954,-0.4345161290322581,0.45,,,,
155,1955,0.525483870967742,0.45,,,,
156,1956,-0.7145161290322581,0.45,,,,
157,1957,0.515483870967742,0.43,,,,
158,1958,1.0254838709677419,0.42,,,,
159,1959,-0.1845161290322581,0.41,,,,
160,1960,0.9454838709677419,0.41,,,,
161,1961,0.7854838709677419,0.43,,,,
162,1962,0.665483870967742,0.45,,,,
163,1963,0.22548387096774192,0.46,,,,
164,1964,0.035483870967741915,0.46,,,,
165,1965,-0.03451612903225809,0.44,,,,
166,1966,1.375483870967742,0.42,,,,
167,1967,0.37548387096774194,0.4,,,,
168,1968,0.7354838709677419,0.38,,,,
169,1969,-0.03451612903225809,0.37,,,,
170,1970,0.6054838709677419,0.35,,,,
171,1971,0.26548387096774195,0.35,,,,
172,1972,0.37548387096774194,0.34,,,,
173,1973,-0.03451612903225809,0.32,,,,
174,1974,0.30548387096774193,0.3,,,,
175,1975,0.765483870967742,0.29,,,,
176,1976,-0.4145161290322581,0.28,,,,
177,1977,0.7154838709677419,0.28,,,,
178,1978,-0.07451612903225807,0.28,,,,
179,1979,0.665483870967742,0.28,,,,
180,1980,-0.25451612903225806,0.28,,,,
181,1981,0.44548387096774195,0.29,,,,
182,1982,0.31548387096774194,0.3,,,,
183,1983,0.5554838709677419,0.32,,,,
184,1984,0.36548387096774193,0.35,,,,
185,1985,-0.024516129032258083,0.38,,,,
186,1986,0.37548387096774194,0.41,,,,
187,1987,0.045483870967741924,0.45,,,,
188,1988,0.4754838709677419,0.48,,,,
189,1989,0.8654838709677419,0.5,,,,
190,1990,1.325483870967742,0.52,,,,
191,1991,-0.10451612903225804,0.55,,,,
192,1992,0.7354838709677419,0.59,,,,
193,1993,0.39548387096774196,0.64,,,,
194,1994,1.885483870967742,0.71,,,,
195,1995,0.5754838709677419,0.77,,,,
196,1996,0.0854838709677419,0.82,,,,
197,1997,-0.014516129032258074,0.87,,,,
198,1998,0.8454838709677419,0.9,,,,
199,1999,1.5354838709677419,0.94,,,,
200,2000,1.585483870967742,0.99,,,,
201,2001,1.405483870967742,1.05,,,,
202,2002,1.485483870967742,1.12,,,,
203,2003,0.675483870967742,1.19,,,,
204,2004,1.035483870967742,1.25,,,,
205,2005,0.5654838709677419,1.3,1.33,1.4,1.45,1.38
206,2006,0.925483870967742,1.34,1.39,1.44,1.49,1.42
207,2007,2.045483870967742,1.37,1.44,1.48,1.53,1.47
208,2008,1.7554838709677418,1.41,1.49,1.52,1.56,1.51
209,2009,1.655483870967742,1.46,1.54,1.57,1.6,1.56
210,2010,1.585483870967742,1.52,1.6,1.61,1.64,1.61
211,2011,0.8054838709677419,1.59,1.65,1.65,1.67,1.65
212,2012,1.8054838709677419,1.66,1.7,1.7,1.71,1.7
213,2013,1.835483870967742,1.73,1.76,1.74,1.75,1.75
214,2014,1.685483870967742,1.8,1.8,1.78,1.78,1.79
215,2015,1.955483870967742,1.88,1.86,1.83,1.81,1.84
216,2016,1.8054838709677419,1.95,1.9,1.87,1.84,1.88
217,2017,1.4954838709677418,2.02,1.95,1.92,1.87,1.93
218,2018,2.0754838709677417,2.09,1.99,1.96,1.91,1.97
219,2019,2.5354838709677416,2.17,2.04,2.0,1.94,2.02
220,2020,2.395483870967742,2.24,2.09,2.05,1.98,2.06
221,2021,,,2.12,2.09,2.02,2.1
222,2022,,,2.16,2.13,2.05,2.14
223,2023,,,2.18,2.17,2.09,2.17
224,2024,,,2.21,2.2,2.12,2.21
225,2025,,,2.24,2.23,2.16,2.25
226,2026,,,2.26,2.26,2.2,2.28
227,2027,,,2.27,2.29,2.24,2.33
228,2028,,,2.28,2.31,2.28,2.37
229,2029,,,2.3,2.34,2.32,2.42
230,2030,,,2.31,2.37,2.36,2.46
231,2031,,,2.32,2.4,2.4,2.5
232,2032,,,2.33,2.43,2.45,2.54
233,2033,,,2.35,2.45,2.49,2.59
234,2034,,,2.36,2.48,2.53,2.64
235,2035,,,2.38,2.51,2.57,2.69
236,2036,,,2.4,2.54,2.6,2.74
237,2037,,,2.41,2.56,2.64,2.79
238,2038,,,2.43,2.59,2.67,2.84
239,2039,,,2.46,2.61,2.69,2.89
240,2040,,,2.48,2.63,2.73,2.94
241,2041,,,2.5,2.66,2.76,2.99
242,2042,,,2.52,2.69,2.8,3.03
243,2043,,,2.55,2.72,2.84,3.08
244,2044,,,2.57,2.74,2.89,3.13
245,2045,,,2.59,2.77,2.94,3.18
246,2046,,,2.61,2.81,2.99,3.23
247,2047,,,2.63,2.85,3.05,3.29
248,2048,,,2.64,2.88,3.1,3.34
249,2049,,,2.65,2.91,3.15,3.4
250,2050,,,2.65,2.93,3.2,3.46
251,2051,,,2.66,2.96,3.25,3.53
252,2052,,,2.66,2.98,3.3,3.6
253,2053,,,2.66,3.0,3.33,3.67
254,2054,,,2.66,3.02,3.37,3.73
255,2055,,,2.66,3.04,3.4,3.79
256,2056,,,2.67,3.06,3.43,3.84
257,2057,,,2.68,3.08,3.47,3.9
258,2058,,,2.69,3.1,3.52,3.95
259,2059,,,2.7,3.13,3.56,4.0
260,2060,,,2.7,3.15,3.61,4.04
261,2061,,,2.7,3.17,3.65,4.09
262,2062,,,2.7,3.19,3.69,4.14
263,2063,,,2.71,3.22,3.73,4.2
264,2064,,,2.72,3.23,3.77,4.25
265,2065,,,2.72,3.25,3.81,4.32
266,2066,,,2.72,3.27,3.85,4.39
267,2067,,,2.72,3.28,3.89,4.45
268,2068,,,2.72,3.3,3.93,4.52
269,2069,,,2.71,3.31,3.97,4.59
270,2070,,,2.71,3.33,4.01,4.65
271,2071,,,2.71,3.34,4.05,4.72
272,2072,,,2.71,3.36,4.11,4.77
273,2073,,,2.71,3.38,4.16,4.83
274,2074,,,2.71,3.4,4.21,4.9
275,2075,,,2.7,3.42,4.27,4.96
276,2076,,,2.69,3.44,4.33,5.02
277,2077,,,2.68,3.46,4.38,5.08
278,2078,,,2.66,3.48,4.43,5.13
279,2079,,,2.66,3.5,4.48,5.2
280,2080,,,2.65,3.52,4.53,5.26
281,2081,,,2.65,3.54,4.57,5.32
282,2082,,,2.65,3.56,4.61,5.39
283,2083,,,2.64,3.57,4.66,5.46
284,2084,,,2.64,3.59,4.71,5.53
285,2085,,,2.64,3.6,4.75,5.59
286,2086,,,2.64,3.62,4.79,5.66
287,2087,,,2.64,3.63,4.84,5.73
288,2088,,,2.63,3.65,4.89,5.8
289,2089,,,2.63,3.67,4.94,5.87
290,2090,,,2.63,3.69,4.99,5.95
291,2091,,,2.62,3.71,5.04,6.02
292,2092,,,2.61,3.73,5.1,6.09
293,2093,,,2.61,3.74,5.16,6.15
294,2094,,,2.61,3.75,5.21,6.22
295,2095,,,2.61,3.76,5.27,6.29
296,2096,,,2.6,3.77,5.32,6.36
297,2097,,,2.6,3.78,5.38,6.42
298,2098,,,2.6,3.79,5.44,6.48
299,2099,,,2.6,3.79,5.49,6.55
300,2100,,,2.61,3.8,5.56,6.62
