Georgia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.32483870967741935,0.48,,,,
1,1801,0.6751612903225807,0.35,,,,
2,1802,0.5951612903225807,0.23,,,,
3,1803,-0.10483870967741937,0.11,,,,
4,1804,-0.03483870967741931,-0.01,,,,
5,1805,-0.0048387096774193394,-0.13,,,,
6,1806,0.28516129032258064,-0.25,,,,
7,1807,0.21516129032258066,-0.37,,,,
8,1808,-0.7848387096774193,-0.48,,,,
9,1809,-1.3948387096774195,-0.6,,,,
10,1810,-1.184838709677419,-0.69,,,,
11,1811,-1.2548387096774194,-0.76,,,,
12,1812,-1.1148387096774193,-0.82,,,,
13,1813,-0.9448387096774192,-0.86,,,,
14,1814,-0.43483870967741933,-0.88,,,,
15,1815,-1.0648387096774194,-0.86,,,,
16,1816,-1.2748387096774194,-0.82,,,,
17,1817,-0.9948387096774193,-0.75,,,,
18,1818,-0.06483870967741934,-0.68,,,,
19,1819,-0.7448387096774193,-0.61,,,,
20,1820,-0.7348387096774193,-0.55,,,,
21,1821,-0.2948387096774193,-0.49,,,,
22,1822,-0.8048387096774193,-0.44,,,,
23,1823,-0.06483870967741934,-0.4,,,,
24,1824,0.7751612903225806,-0.36,,,,
25,1825,-0.45483870967741935,-0.35,,,,
26,1826,-0.3548387096774194,-0.34,,,,
27,1827,0.7751612903225806,-0.35,,,,
28,1828,-0.5948387096774194,-0.37,,,,
29,1829,-0.4848387096774194,-0.39,,,,
30,1830,0.06516129032258067,-0.43,,,,
31,1831,-0.6148387096774194,-0.47,,,,
32,1832,-1.874838709677419,-0.52,,,,
33,1833,-0.43483870967741933,-0.57,,,,
34,1834,-0.5648387096774193,-0.61,,,,
35,1835,-0.8748387096774194,-0.64,,,,
36,1836,-0.3848387096774193,-0.65,,,,
37,1837,-0.8148387096774193,-0.64,,,,
38,1838,-1.0548387096774192,-0.62,,,,
39,1839,-0.7348387096774193,-0.58,,,,
40,1840,-1.0948387096774193,-0.53,,,,
41,1841,-0.44483870967741934,-0.48,,,,
42,1842,-0.2948387096774193,-0.42,,,,
43,1843,0.06516129032258067,-0.35,,,,
44,1844,-0.44483870967741934,-0.27,,,,
45,1845,-0.2848387096774193,-0.19,,,,
46,1846,0.1551612903225807,-0.11,,,,
47,1847,-0.1548387096774193,-0.05,,,,
48,1848,0.20516129032258068,0.0,,,,
49,1849,0.25516129032258067,0.03,,,,
50,1850,-0.3548387096774194,0.05,,,,
51,1851,0.8451612903225807,0.05,,,,
52,1852,-0.0248387096774193,0.05,,,,
53,1853,0.5651612903225807,0.04,,,,
54,1854,-0.4148387096774193,0.01,,,,
55,1855,0.5551612903225807,-0.02,,,,
56,1856,-0.014838709677419348,-0.06,,,,
57,1857,-0.8048387096774193,-0.11,,,,
58,1858,-0.3848387096774193,-0.14,,,,
59,1859,0.3551612903225807,-0.17,,,,
60,1860,0.20516129032258068,-0.18,,,,
61,1861,-0.9548387096774192,-0.19,,,,
62,1862,-1.1248387096774195,-0.19,,,,
63,1863,-0.3548387096774194,-0.18,,,,
64,1864,-0.08483870967741935,-0.16,,,,
65,1865,0.0951612903225807,-0.13,,,,
66,1866,0.0051612903225806694,-0.09,,,,
67,1867,-0.06483870967741934,-0.06,,,,
68,1868,-0.1548387096774193,-0.02,,,,
69,1869,0.37516129032258067,0.02,,,,
70,1870,-0.05483870967741933,0.07,,,,
71,1871,-0.22483870967741937,0.11,,,,
72,1872,0.7151612903225807,0.15,,,,
73,1873,0.4051612903225807,0.18,,,,
74,1874,-0.16483870967741932,0.18,,,,
75,1875,-0.46483870967741936,0.18,,,,
76,1876,0.4651612903225807,0.15,,,,
77,1877,0.6351612903225807,0.12,,,,
78,1878,0.6551612903225806,0.09,,,,
79,1879,0.9651612903225807,0.07,,,,
80,1880,-1.1948387096774193,0.04,,,,
81,1881,-0.44483870967741934,0.03,,,,
82,1882,-0.2848387096774193,0.02,,,,
83,1883,0.08516129032258068,0.0,,,,
84,1884,-0.5748387096774193,-0.02,,,,
85,1885,0.05516129032258066,-0.04,,,,
86,1886,-0.44483870967741934,-0.05,,,,
87,1887,0.28516129032258064,-0.04,,,,
88,1888,0.3351612903225807,-0.04,,,,
89,1889,0.08516129032258068,-0.04,,,,
90,1890,0.24516129032258066,-0.04,,,,
91,1891,-0.09483870967741936,-0.05,,,,
92,1892,0.4051612903225807,-0.06,,,,
93,1893,-0.3548387096774194,-0.06,,,,
94,1894,-0.6648387096774194,-0.06,,,,
95,1895,0.015161290322580678,-0.06,,,,
96,1896,-0.7148387096774192,-0.06,,,,
97,1897,0.0951612903225807,-0.06,,,,
98,1898,-0.6148387096774194,-0.06,,,,
99,1899,0.8551612903225807,-0.06,,,,
100,1900,-0.05483870967741933,-0.05,,,,
101,1901,1.0551612903225807,-0.04,,,,
102,1902,-0.04483870967741932,-0.02,,,,
103,1903,0.06516129032258067,-0.01,,,,
104,1904,-0.4248387096774193,-0.01,,,,
105,1905,0.1551612903225807,-0.0,,,,
106,1906,0.27516129032258063,-0.01,,,,
107,1907,-0.7448387096774193,-0.0,,,,
108,1908,-0.6648387096774194,0.01,,,,
109,1909,0.4051612903225807,0.04,,,,
110,1910,0.27516129032258063,0.08,,,,
111,1911,-1.434838709677419,0.13,,,,
112,1912,0.29516129032258065,0.19,,,,
113,1913,-0.21483870967741936,0.24,,,,
114,1914,0.16516129032258065,0.29,,,,
115,1915,0.6251612903225807,0.34,,,,
116,1916,0.6251612903225807,0.38,,,,
117,1917,0.8251612903225807,0.4,,,,
118,1918,0.6251612903225807,0.43,,,,
119,1919,0.5451612903225806,0.44,,,,
120,1920,-1.2848387096774192,0.43,,,,
121,1921,-0.6348387096774194,0.41,,,,
122,1922,0.6451612903225807,0.37,,,,
123,1923,0.7351612903225806,0.31,,,,
124,1924,0.43516129032258066,0.24,,,,
125,1925,0.49516129032258066,0.17,,,,
126,1926,0.14516129032258068,0.1,,,,
127,1927,0.10516129032258065,0.04,,,,
128,1928,-0.8848387096774194,-0.01,,,,
129,1929,-0.7048387096774192,-0.03,,,,
130,1930,0.5651612903225807,-0.04,,,,
131,1931,-0.47483870967741937,-0.04,,,,
132,1932,-0.4848387096774194,-0.01,,,,
133,1933,-0.8448387096774194,0.02,,,,
134,1934,-0.23483870967741938,0.06,,,,
135,1935,0.5451612903225806,0.11,,,,
136,1936,0.41516129032258065,0.16,,,,
137,1937,0.9851612903225807,0.2,,,,
138,1938,0.5951612903225807,0.23,,,,
139,1939,0.48516129032258065,0.26,,,,
140,1940,0.6151612903225807,0.28,,,,
141,1941,0.13516129032258067,0.28,,,,
142,1942,-0.21483870967741936,0.26,,,,
143,1943,-0.0048387096774193394,0.22,,,,
144,1944,0.6351612903225807,0.19,,,,
145,1945,-0.8048387096774193,0.16,,,,
146,1946,0.04516129032258065,0.15,,,,
147,1947,0.9251612903225807,0.15,,,,
148,1948,0.04516129032258065,0.17,,,,
149,1949,-0.4948387096774193,0.2,,,,
150,1950,-0.05483870967741933,0.23,,,,
151,1951,0.4551612903225807,0.27,,,,
152,1952,0.8951612903225807,0.3,,,,
153,1953,-0.22483870967741937,0.33,,,,
154,1954,0.4051612903225807,0.37,,,,
155,1955,1.4251612903225808,0.41,,,,
156,1956,-0.9348387096774192,0.44,,,,
157,1957,0.9251612903225807,0.47,,,,
158,1958,0.43516129032258066,0.47,,,,
159,1959,-0.4948387096774193,0.46,,,,
160,1960,0.6951612903225807,0.44,,,,
161,1961,0.8051612903225807,0.41,,,,
162,1962,1.5851612903225805,0.38,,,,
163,1963,0.5251612903225806,0.37,,,,
164,1964,-0.4148387096774193,0.35,,,,
165,1965,0.08516129032258068,0.34,,,,
166,1966,2.3851612903225807,0.31,,,,
167,1967,-0.2548387096774193,0.29,,,,
168,1968,0.6051612903225807,0.25,,,,
169,1969,-0.12483870967741928,0.22,,,,
170,1970,1.0851612903225807,0.2,,,,
171,1971,0.7151612903225807,0.21,,,,
172,1972,-0.1348387096774193,0.23,,,,
173,1973,-0.2648387096774193,0.26,,,,
174,1974,0.14516129032258068,0.29,,,,
175,1975,0.6651612903225806,0.32,,,,
176,1976,-0.3748387096774193,0.34,,,,
177,1977,0.21516129032258066,0.35,,,,
178,1978,0.30516129032258066,0.36,,,,
179,1979,1.4451612903225808,0.38,,,,
180,1980,0.6651612903225806,0.39,,,,
181,1981,1.3051612903225807,0.41,,,,
182,1982,-0.19483870967741934,0.43,,,,
183,1983,0.4751612903225807,0.45,,,,
184,1984,0.3851612903225807,0.46,,,,
185,1985,0.23516129032258068,0.46,,,,
186,1986,0.6851612903225807,0.45,,,,
187,1987,0.06516129032258067,0.44,,,,
188,1988,0.10516129032258065,0.45,,,,
189,1989,0.8051612903225807,0.48,,,,
190,1990,0.7351612903225806,0.53,,,,
191,1991,0.7051612903225807,0.59,,,,
192,1992,-0.7148387096774192,0.66,,,,
193,1993,-0.6448387096774194,0.74,,,,
194,1994,0.6051612903225807,0.81,,,,
195,1995,1.2951612903225806,0.88,,,,
196,1996,1.0251612903225806,0.93,,,,
197,1997,0.44516129032258067,0.98,,,,
198,1998,1.7951612903225809,1.02,,,,
199,1999,1.6351612903225807,1.06,,,,
200,2000,1.1851612903225806,1.1,,,,
201,2001,1.6051612903225805,1.13,,,,
202,2002,0.9751612903225807,1.15,,,,
203,2003,0.5351612903225806,1.16,,,,
204,2004,0.9751612903225807,1.16,,,,
205,2005,1.0951612903225807,1.16,1.24,1.25,1.31,1.25
206,2006,1.2651612903225806,1.18,1.3,1.31,1.36,1.3
207,2007,1.2451612903225806,1.21,1.36,1.36,1.4,1.36
208,2008,1.0351612903225806,1.26,1.41,1.41,1.45,1.41
209,2009,1.2851612903225806,1.31,1.47,1.46,1.5,1.46
210,2010,2.965161290322581,1.38,1.52,1.52,1.54,1.52
211,2011,0.37516129032258067,1.46,1.57,1.57,1.59,1.57
212,2012,1.6651612903225805,1.55,1.63,1.62,1.64,1.62
213,2013,1.4451612903225808,1.64,1.68,1.67,1.68,1.68
214,2014,2.065161290322581,1.73,1.73,1.72,1.72,1.73
215,2015,1.9651612903225808,1.82,1.78,1.78,1.75,1.78
216,2016,1.4051612903225807,1.91,1.82,1.82,1.78,1.81
217,2017,1.6551612903225807,2.0,1.85,1.86,1.81,1.86
218,2018,2.855161290322581,2.09,1.9,1.9,1.85,1.9
219,2019,2.255161290322581,2.19,1.94,1.94,1.88,1.94
220,2020,2.195161290322581,2.28,1.98,1.98,1.91,1.98
221,2021,,,2.02,2.02,1.94,2.02
222,2022,,,2.05,2.05,1.98,2.06
223,2023,,,2.09,2.08,2.01,2.1
224,2024,,,2.12,2.11,2.04,2.14
225,2025,,,2.16,2.14,2.08,2.18
226,2026,,,2.2,2.16,2.12,2.23
227,2027,,,2.23,2.18,2.16,2.27
228,2028,,,2.25,2.21,2.21,2.32
229,2029,,,2.27,2.23,2.25,2.37
230,2030,,,2.29,2.26,2.29,2.41
231,2031,,,2.32,2.28,2.33,2.45
232,2032,,,2.33,2.31,2.37,2.49
233,2033,,,2.35,2.34,2.4,2.54
234,2034,,,2.37,2.37,2.43,2.58
235,2035,,,2.38,2.4,2.47,2.63
236,2036,,,2.39,2.43,2.5,2.67
237,2037,,,2.4,2.46,2.54,2.72
238,2038,,,2.42,2.49,2.57,2.76
239,2039,,,2.43,2.52,2.61,2.81
240,2040,,,2.45,2.55,2.65,2.87
241,2041,,,2.47,2.58,2.69,2.92
242,2042,,,2.49,2.61,2.74,2.97
243,2043,,,2.51,2.64,2.78,3.02
244,2044,,,2.52,2.67,2.83,3.07
245,2045,,,2.54,2.69,2.88,3.13
246,2046,,,2.57,2.72,2.93,3.18
247,2047,,,2.59,2.75,2.98,3.24
248,2048,,,2.6,2.78,3.03,3.3
249,2049,,,2.62,2.8,3.07,3.36
250,2050,,,2.63,2.83,3.11,3.42
251,2051,,,2.64,2.86,3.15,3.48
252,2052,,,2.65,2.89,3.18,3.55
253,2053,,,2.65,2.92,3.22,3.61
254,2054,,,2.65,2.95,3.25,3.68
255,2055,,,2.65,2.98,3.29,3.74
256,2056,,,2.65,3.01,3.34,3.8
257,2057,,,2.66,3.04,3.38,3.87
258,2058,,,2.66,3.07,3.43,3.93
259,2059,,,2.66,3.1,3.47,3.99
260,2060,,,2.66,3.11,3.52,4.04
261,2061,,,2.65,3.13,3.56,4.1
262,2062,,,2.64,3.14,3.61,4.16
263,2063,,,2.64,3.16,3.66,4.21
264,2064,,,2.64,3.17,3.71,4.27
265,2065,,,2.64,3.18,3.75,4.33
266,2066,,,2.64,3.2,3.79,4.39
267,2067,,,2.64,3.21,3.83,4.45
268,2068,,,2.64,3.23,3.87,4.51
269,2069,,,2.65,3.24,3.91,4.56
270,2070,,,2.65,3.26,3.94,4.62
271,2071,,,2.65,3.28,3.98,4.67
272,2072,,,2.65,3.31,4.02,4.73
273,2073,,,2.65,3.33,4.06,4.79
274,2074,,,2.65,3.35,4.1,4.86
275,2075,,,2.65,3.37,4.15,4.92
276,2076,,,2.65,3.39,4.2,4.97
277,2077,,,2.64,3.42,4.25,5.03
278,2078,,,2.63,3.44,4.3,5.09
279,2079,,,2.62,3.46,4.35,5.17
280,2080,,,2.62,3.48,4.41,5.24
281,2081,,,2.62,3.5,4.47,5.32
282,2082,,,2.62,3.52,4.52,5.39
283,2083,,,2.62,3.54,4.58,5.47
284,2084,,,2.62,3.57,4.63,5.54
285,2085,,,2.62,3.59,4.69,5.6
286,2086,,,2.61,3.61,4.74,5.67
287,2087,,,2.6,3.63,4.79,5.74
288,2088,,,2.59,3.64,4.84,5.81
289,2089,,,2.58,3.66,4.88,5.88
290,2090,,,2.57,3.67,4.93,5.95
291,2091,,,2.55,3.69,4.96,6.02
292,2092,,,2.54,3.7,5.01,6.09
293,2093,,,2.54,3.71,5.05,6.15
294,2094,,,2.53,3.72,5.09,6.22
295,2095,,,2.52,3.72,5.13,6.29
296,2096,,,2.51,3.73,5.18,6.35
297,2097,,,2.51,3.73,5.22,6.42
298,2098,,,2.5,3.74,5.26,6.48
299,2099,,,2.5,3.74,5.31,6.54
300,2100,,,2.5,3.75,5.35,6.62
