Malaysia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,-0.03931034482758622,-0.1,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,-0.34931034482758627,-0.23,,,,
41,1841,-0.19931034482758625,-0.25,,,,
42,1842,-0.18931034482758624,-0.25,,,,
43,1843,-0.08931034482758626,-0.25,,,,
44,1844,-0.5893103448275862,-0.24,,,,
45,1845,,,,,,
46,1846,0.04068965517241374,-0.22,,,,
47,1847,-0.4793103448275863,-0.21,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,-0.2793103448275862,-0.18,,,,
51,1851,-0.1493103448275862,-0.17,,,,
52,1852,-0.2593103448275862,-0.15,,,,
53,1853,-0.05931034482758624,-0.14,,,,
54,1854,-0.11931034482758618,-0.12,,,,
55,1855,-0.02931034482758621,-0.11,,,,
56,1856,-0.05931034482758624,-0.1,,,,
57,1857,,,,,,
58,1858,0.05068965517241375,-0.08,,,,
59,1859,0.12068965517241376,-0.07,,,,
60,1860,-0.18931034482758624,-0.05,,,,
61,1861,-0.2993103448275862,-0.03,,,,
62,1862,,,,,,
63,1863,-0.09931034482758627,-0.01,,,,
64,1864,-0.20931034482758626,-0.0,,,,
65,1865,0.09068965517241379,0.0,,,,
66,1866,0.15068965517241378,0.01,,,,
67,1867,0.1606896551724138,0.03,,,,
68,1868,0.24068965517241375,0.04,,,,
69,1869,0.1706896551724138,0.05,,,,
70,1870,-0.1293103448275862,0.05,,,,
71,1871,-0.17931034482758623,0.05,,,,
72,1872,0.06068965517241376,0.04,,,,
73,1873,0.1606896551724138,0.03,,,,
74,1874,0.12068965517241376,0.03,,,,
75,1875,-0.19931034482758625,0.03,,,,
76,1876,-0.1293103448275862,0.03,,,,
77,1877,0.3906896551724138,0.03,,,,
78,1878,0.6706896551724137,0.03,,,,
79,1879,-0.009310344827586192,0.03,,,,
80,1880,0.010689655172413826,0.02,,,,
81,1881,0.07068965517241377,0.02,,,,
82,1882,0.13068965517241377,0.01,,,,
83,1883,0.010689655172413826,0.01,,,,
84,1884,-0.2793103448275862,-0.0,,,,
85,1885,0.14068965517241377,-0.01,,,,
86,1886,-0.09931034482758627,-0.02,,,,
87,1887,-0.46931034482758627,-0.04,,,,
88,1888,0.24068965517241375,-0.05,,,,
89,1889,0.6806896551724138,-0.06,,,,
90,1890,-0.1493103448275862,-0.05,,,,
91,1891,0.2706896551724138,-0.04,,,,
92,1892,-0.21931034482758627,-0.02,,,,
93,1893,-0.30931034482758624,-0.01,,,,
94,1894,-0.1393103448275862,0.02,,,,
95,1895,-0.06931034482758625,0.04,,,,
96,1896,0.3506896551724138,0.07,,,,
97,1897,0.4806896551724138,0.1,,,,
98,1898,0.12068965517241376,0.13,,,,
99,1899,0.010689655172413826,0.16,,,,
100,1900,0.5606896551724138,0.18,,,,
101,1901,0.26068965517241377,0.19,,,,
102,1902,0.18068965517241375,0.19,,,,
103,1903,0.25068965517241376,0.18,,,,
104,1904,-0.16931034482758622,0.16,,,,
105,1905,0.5006896551724138,0.15,,,,
106,1906,0.2306896551724138,0.14,,,,
107,1907,0.04068965517241374,0.13,,,,
108,1908,-0.04931034482758623,0.12,,,,
109,1909,0.1006896551724138,0.12,,,,
110,1910,0.0006896551724138167,0.11,,,,
111,1911,0.1606896551724138,0.1,,,,
112,1912,0.25068965517241376,0.08,,,,
113,1913,-0.06931034482758625,0.07,,,,
114,1914,0.41068965517241374,0.07,,,,
115,1915,0.3906896551724138,0.07,,,,
116,1916,-0.17931034482758623,0.06,,,,
117,1917,-0.2693103448275862,0.06,,,,
118,1918,-0.18931034482758624,0.05,,,,
119,1919,0.3406896551724138,0.04,,,,
120,1920,0.14068965517241377,0.03,,,,
121,1921,-0.02931034482758621,0.04,,,,
122,1922,0.020689655172413723,0.05,,,,
123,1923,-0.02931034482758621,0.07,,,,
124,1924,0.06068965517241376,0.1,,,,
125,1925,-0.10931034482758617,0.13,,,,
126,1926,0.3406896551724138,0.16,,,,
127,1927,0.20068965517241377,0.18,,,,
128,1928,0.2206896551724138,0.2,,,,
129,1929,0.19068965517241376,0.22,,,,
130,1930,0.41068965517241374,0.23,,,,
131,1931,0.5706896551724138,0.25,,,,
132,1932,0.21068965517241378,0.26,,,,
133,1933,0.24068965517241375,0.27,,,,
134,1934,-0.009310344827586192,0.27,,,,
135,1935,0.24068965517241375,0.29,,,,
136,1936,0.24068965517241375,0.3,,,,
137,1937,0.41068965517241374,0.31,,,,
138,1938,0.2706896551724138,0.32,,,,
139,1939,0.25068965517241376,0.34,,,,
140,1940,0.42068965517241375,0.37,,,,
141,1941,0.8806896551724137,0.39,,,,
142,1942,0.6306896551724138,0.41,,,,
143,1943,0.18068965517241375,0.43,,,,
144,1944,0.3406896551724138,0.45,,,,
145,1945,0.4006896551724138,0.46,,,,
146,1946,0.6506896551724137,0.47,,,,
147,1947,0.6806896551724138,0.48,,,,
148,1948,0.44068965517241376,0.49,,,,
149,1949,0.41068965517241374,0.49,,,,
150,1950,0.38068965517241377,0.49,,,,
151,1951,0.5806896551724138,0.5,,,,
152,1952,0.6006896551724138,0.5,,,,
153,1953,0.6206896551724138,0.51,,,,
154,1954,0.42068965517241375,0.52,,,,
155,1955,0.2806896551724138,0.53,,,,
156,1956,0.2706896551724138,0.54,,,,
157,1957,0.6406896551724137,0.54,,,,
158,1958,0.8606896551724138,0.54,,,,
159,1959,0.6106896551724138,0.54,,,,
160,1960,0.6906896551724138,0.55,,,,
161,1961,0.5306896551724137,0.55,,,,
162,1962,0.43068965517241375,0.56,,,,
163,1963,0.5206896551724138,0.56,,,,
164,1964,0.5406896551724137,0.56,,,,
165,1965,0.43068965517241375,0.56,,,,
166,1966,0.7106896551724138,0.57,,,,
167,1967,0.43068965517241375,0.57,,,,
168,1968,0.5806896551724138,0.58,,,,
169,1969,0.7806896551724138,0.58,,,,
170,1970,0.6806896551724138,0.59,,,,
171,1971,0.3306896551724138,0.59,,,,
172,1972,0.7506896551724138,0.6,,,,
173,1973,0.7506896551724138,0.61,,,,
174,1974,0.3706896551724138,0.63,,,,
175,1975,0.44068965517241376,0.64,,,,
176,1976,0.4906896551724138,0.66,,,,
177,1977,0.7406896551724138,0.68,,,,
178,1978,0.7806896551724138,0.7,,,,
179,1979,0.7906896551724137,0.72,,,,
180,1980,0.7806896551724138,0.74,,,,
181,1981,0.7806896551724138,0.77,,,,
182,1982,0.7806896551724138,0.79,,,,
183,1983,1.1406896551724137,0.81,,,,
184,1984,0.5506896551724138,0.83,,,,
185,1985,0.7406896551724138,0.84,,,,
186,1986,0.7806896551724138,0.85,,,,
187,1987,1.090689655172414,0.86,,,,
188,1988,0.9506896551724138,0.87,,,,
189,1989,0.7106896551724138,0.88,,,,
190,1990,1.0406896551724139,0.9,,,,
191,1991,0.9406896551724138,0.91,,,,
192,1992,0.9206896551724137,0.93,,,,
193,1993,0.8306896551724138,0.94,,,,
194,1994,0.8906896551724137,0.95,,,,
195,1995,0.9906896551724138,0.96,,,,
196,1996,0.9006896551724137,0.98,,,,
197,1997,1.1906896551724138,1.0,,,,
198,1998,1.6406896551724137,1.03,,,,
199,1999,0.9006896551724137,1.06,,,,
200,2000,0.9606896551724138,1.08,,,,
201,2001,1.0606896551724136,1.11,,,,
202,2002,1.3206896551724139,1.12,,,,
203,2003,1.2006896551724138,1.14,,,,
204,2004,1.2006896551724138,1.15,,,,
205,2005,1.3106896551724136,1.17,1.19,1.18,1.21,1.17
206,2006,1.1906896551724138,1.19,1.21,1.2,1.23,1.2
207,2007,1.0806896551724137,1.2,1.24,1.23,1.26,1.23
208,2008,0.9006896551724137,1.22,1.26,1.26,1.28,1.25
209,2009,1.2206896551724138,1.24,1.29,1.29,1.3,1.28
210,2010,1.4306896551724138,1.27,1.31,1.31,1.32,1.31
211,2011,1.090689655172414,1.3,1.34,1.34,1.35,1.34
212,2012,1.2406896551724138,1.33,1.37,1.37,1.37,1.37
213,2013,1.4006896551724137,1.37,1.39,1.4,1.39,1.4
214,2014,1.3906896551724137,1.41,1.42,1.42,1.42,1.43
215,2015,1.5606896551724136,1.45,1.45,1.45,1.44,1.45
216,2016,1.880689655172414,1.5,1.47,1.47,1.46,1.48
217,2017,1.4206896551724137,1.54,1.5,1.5,1.48,1.5
218,2018,1.4506896551724138,1.58,1.52,1.52,1.5,1.53
219,2019,1.7006896551724138,1.63,1.54,1.55,1.52,1.56
220,2020,1.650689655172414,1.67,1.57,1.57,1.54,1.58
221,2021,,,1.59,1.6,1.57,1.61
222,2022,,,1.61,1.62,1.59,1.64
223,2023,,,1.63,1.64,1.62,1.67
224,2024,,,1.65,1.66,1.64,1.69
225,2025,,,1.67,1.68,1.67,1.72
226,2026,,,1.69,1.7,1.69,1.75
227,2027,,,1.71,1.72,1.72,1.78
228,2028,,,1.73,1.75,1.75,1.81
229,2029,,,1.75,1.77,1.78,1.84
230,2030,,,1.77,1.79,1.8,1.87
231,2031,,,1.79,1.8,1.83,1.9
232,2032,,,1.8,1.82,1.85,1.93
233,2033,,,1.82,1.84,1.88,1.96
234,2034,,,1.84,1.87,1.9,2.0
235,2035,,,1.85,1.89,1.92,2.03
236,2036,,,1.87,1.91,1.95,2.06
237,2037,,,1.88,1.93,1.98,2.09
238,2038,,,1.9,1.95,2.0,2.12
239,2039,,,1.91,1.97,2.03,2.16
240,2040,,,1.92,1.99,2.06,2.2
241,2041,,,1.93,2.01,2.09,2.23
242,2042,,,1.94,2.03,2.12,2.27
243,2043,,,1.95,2.05,2.14,2.3
244,2044,,,1.96,2.07,2.17,2.34
245,2045,,,1.97,2.09,2.2,2.38
246,2046,,,1.98,2.11,2.23,2.42
247,2047,,,1.99,2.14,2.26,2.46
248,2048,,,1.99,2.16,2.29,2.49
249,2049,,,2.0,2.18,2.32,2.53
250,2050,,,2.0,2.2,2.35,2.57
251,2051,,,2.01,2.22,2.38,2.61
252,2052,,,2.02,2.24,2.41,2.65
253,2053,,,2.03,2.27,2.44,2.69
254,2054,,,2.03,2.29,2.47,2.73
255,2055,,,2.04,2.31,2.5,2.76
256,2056,,,2.04,2.33,2.53,2.8
257,2057,,,2.05,2.35,2.56,2.85
258,2058,,,2.05,2.37,2.6,2.89
259,2059,,,2.06,2.39,2.63,2.93
260,2060,,,2.06,2.41,2.66,2.96
261,2061,,,2.07,2.43,2.69,3.01
262,2062,,,2.07,2.44,2.72,3.05
263,2063,,,2.07,2.46,2.75,3.09
264,2064,,,2.07,2.48,2.79,3.14
265,2065,,,2.07,2.49,2.82,3.18
266,2066,,,2.07,2.5,2.85,3.22
267,2067,,,2.07,2.52,2.87,3.27
268,2068,,,2.07,2.54,2.9,3.31
269,2069,,,2.07,2.55,2.93,3.36
270,2070,,,2.06,2.57,2.96,3.41
271,2071,,,2.06,2.58,3.0,3.45
272,2072,,,2.06,2.6,3.03,3.5
273,2073,,,2.06,2.62,3.06,3.54
274,2074,,,2.06,2.63,3.1,3.59
275,2075,,,2.06,2.64,3.13,3.63
276,2076,,,2.06,2.65,3.17,3.68
277,2077,,,2.05,2.67,3.21,3.72
278,2078,,,2.05,2.68,3.24,3.77
279,2079,,,2.05,2.69,3.28,3.82
280,2080,,,2.05,2.7,3.31,3.87
281,2081,,,2.05,2.71,3.35,3.91
282,2082,,,2.04,2.72,3.38,3.96
283,2083,,,2.04,2.73,3.42,4.0
284,2084,,,2.03,2.74,3.45,4.05
285,2085,,,2.03,2.76,3.49,4.09
286,2086,,,2.03,2.77,3.52,4.13
287,2087,,,2.02,2.78,3.55,4.17
288,2088,,,2.02,2.79,3.58,4.21
289,2089,,,2.01,2.8,3.62,4.25
290,2090,,,2.01,2.81,3.65,4.29
291,2091,,,2.0,2.82,3.68,4.34
292,2092,,,2.0,2.83,3.71,4.38
293,2093,,,2.0,2.84,3.75,4.42
294,2094,,,2.0,2.84,3.78,4.46
295,2095,,,1.99,2.85,3.81,4.5
296,2096,,,1.99,2.86,3.85,4.55
297,2097,,,1.99,2.87,3.88,4.59
298,2098,,,1.99,2.87,3.91,4.62
299,2099,,,1.99,2.88,3.95,4.66
300,2100,,,1.99,2.89,3.98,4.71
