The Gambia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.28750000000000003,-0.23,,,,
50,1850,-0.2775,-0.22,,,,
51,1851,-0.15750000000000003,-0.2,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,0.27249999999999996,-0.01,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,-0.2375,0.11,,,,
75,1875,-0.31750000000000006,0.1,,,,
76,1876,0.31249999999999994,0.09,,,,
77,1877,0.18249999999999997,0.08,,,,
78,1878,0.44249999999999995,0.08,,,,
79,1879,0.052499999999999936,0.07,,,,
80,1880,0.17249999999999996,0.06,,,,
81,1881,,,,,,
82,1882,0.36249999999999993,0.04,,,,
83,1883,,,,,,
84,1884,-0.04750000000000004,-0.0,,,,
85,1885,-0.3575,-0.02,,,,
86,1886,-0.19750000000000006,-0.03,,,,
87,1887,-0.12750000000000006,-0.03,,,,
88,1888,0.09249999999999997,-0.01,,,,
89,1889,-0.3875,0.02,,,,
90,1890,-0.21750000000000008,0.06,,,,
91,1891,0.3525,0.11,,,,
92,1892,0.6824999999999999,0.16,,,,
93,1893,0.7024999999999999,0.21,,,,
94,1894,-0.09750000000000003,0.26,,,,
95,1895,-0.21750000000000008,0.3,,,,
96,1896,0.5325,0.32,,,,
97,1897,0.6525,0.33,,,,
98,1898,-0.04750000000000004,0.32,,,,
99,1899,0.6125,0.3,,,,
100,1900,0.26249999999999996,0.29,,,,
101,1901,0.46249999999999997,0.26,,,,
102,1902,0.5325,0.22,,,,
103,1903,0.09249999999999997,0.17,,,,
104,1904,-0.40750000000000003,0.12,,,,
105,1905,-0.027500000000000024,0.08,,,,
106,1906,0.33249999999999996,0.04,,,,
107,1907,-0.21750000000000008,0.01,,,,
108,1908,-0.1375,-0.0,,,,
109,1909,-0.1375,0.01,,,,
110,1910,0.10249999999999995,0.03,,,,
111,1911,-0.05750000000000005,0.04,,,,
112,1912,0.022499999999999964,0.05,,,,
113,1913,0.4325,0.07,,,,
114,1914,0.062499999999999944,0.11,,,,
115,1915,0.3525,0.14,,,,
116,1916,-0.09750000000000003,0.18,,,,
117,1917,-0.12750000000000006,0.22,,,,
118,1918,0.13249999999999995,0.25,,,,
119,1919,0.5725,0.28,,,,
120,1920,0.31249999999999994,0.33,,,,
121,1921,0.4725,0.38,,,,
122,1922,0.4225,0.42,,,,
123,1923,0.49249999999999994,0.45,,,,
124,1924,0.44249999999999995,0.46,,,,
125,1925,0.49249999999999994,0.46,,,,
126,1926,1.1425,0.45,,,,
127,1927,0.5625,0.46,,,,
128,1928,0.24249999999999997,0.45,,,,
129,1929,0.27249999999999996,0.44,,,,
130,1930,0.062499999999999944,0.42,,,,
131,1931,0.7424999999999999,0.4,,,,
132,1932,0.5225,0.4,,,,
133,1933,0.5225,0.4,,,,
134,1934,0.0024999999999999467,0.41,,,,
135,1935,0.20249999999999996,0.42,,,,
136,1936,0.6325,0.42,,,,
137,1937,0.6325,0.41,,,,
138,1938,0.45249999999999996,0.41,,,,
139,1939,0.09249999999999997,0.42,,,,
140,1940,0.46249999999999997,0.42,,,,
141,1941,0.7324999999999999,0.42,,,,
142,1942,0.31249999999999994,0.4,,,,
143,1943,0.09249999999999997,0.38,,,,
144,1944,0.5525,0.35,,,,
145,1945,0.7224999999999999,0.33,,,,
146,1946,0.18249999999999997,0.29,,,,
147,1947,0.22249999999999998,0.26,,,,
148,1948,0.13249999999999995,0.22,,,,
149,1949,0.23249999999999996,0.19,,,,
150,1950,0.13249999999999995,0.16,,,,
151,1951,0.04249999999999998,0.14,,,,
152,1952,-0.027500000000000024,0.13,,,,
153,1953,0.09249999999999997,0.13,,,,
154,1954,0.12249999999999997,0.13,,,,
155,1955,0.31249999999999994,0.14,,,,
156,1956,0.052499999999999936,0.16,,,,
157,1957,-0.017500000000000016,0.19,,,,
158,1958,0.5225,0.22,,,,
159,1959,0.07249999999999995,0.24,,,,
160,1960,0.20249999999999996,0.26,,,,
161,1961,0.37249999999999994,0.26,,,,
162,1962,0.4225,0.26,,,,
163,1963,0.46249999999999997,0.26,,,,
164,1964,0.32249999999999995,0.27,,,,
165,1965,-0.14750000000000002,0.28,,,,
166,1966,0.4725,0.3,,,,
167,1967,-0.17750000000000005,0.32,,,,
168,1968,-0.1375,0.33,,,,
169,1969,0.9724999999999999,0.34,,,,
170,1970,0.7925,0.35,,,,
171,1971,0.15249999999999997,0.37,,,,
172,1972,0.5325,0.4,,,,
173,1973,0.8525,0.44,,,,
174,1974,-0.027500000000000024,0.49,,,,
175,1975,0.14249999999999996,0.53,,,,
176,1976,0.09249999999999997,0.57,,,,
177,1977,0.9324999999999999,0.61,,,,
178,1978,0.5825,0.66,,,,
179,1979,1.0525,0.71,,,,
180,1980,0.9424999999999999,0.76,,,,
181,1981,0.9724999999999999,0.8,,,,
182,1982,0.49249999999999994,0.84,,,,
183,1983,1.4825,0.86,,,,
184,1984,0.7725,0.89,,,,
185,1985,0.5025,0.9,,,,
186,1986,0.6425,0.92,,,,
187,1987,1.4325,0.93,,,,
188,1988,1.0225,0.95,,,,
189,1989,0.8925000000000001,0.98,,,,
190,1990,1.2825,1.01,,,,
191,1991,0.9524999999999999,1.05,,,,
192,1992,1.0225,1.09,,,,
193,1993,1.0425,1.12,,,,
194,1994,0.9024999999999999,1.15,,,,
195,1995,1.1025,1.17,,,,
196,1996,1.3625,1.2,,,,
197,1997,1.5425,1.23,,,,
198,1998,1.7125,1.26,,,,
199,1999,0.8325,1.3,,,,
200,2000,0.9724999999999999,1.32,,,,
201,2001,1.5825,1.34,,,,
202,2002,1.4925,1.34,,,,
203,2003,1.1724999999999999,1.34,,,,
204,2004,1.2525,1.35,,,,
205,2005,1.6825,1.37,1.3,1.32,1.3,1.31
206,2006,1.2825,1.38,1.33,1.35,1.32,1.33
207,2007,1.4025,1.38,1.35,1.37,1.35,1.36
208,2008,1.4925,1.39,1.38,1.39,1.38,1.38
209,2009,0.9624999999999999,1.39,1.41,1.42,1.41,1.41
210,2010,1.8625,1.4,1.43,1.44,1.44,1.43
211,2011,1.2725,1.42,1.46,1.46,1.46,1.46
212,2012,1.3125,1.44,1.49,1.49,1.49,1.49
213,2013,1.4425000000000001,1.47,1.52,1.51,1.52,1.51
214,2014,1.4325,1.5,1.55,1.53,1.55,1.54
215,2015,1.3125,1.54,1.58,1.56,1.58,1.57
216,2016,1.8225,1.58,1.6,1.58,1.6,1.59
217,2017,1.9225,1.63,1.62,1.61,1.62,1.62
218,2018,1.1624999999999999,1.67,1.65,1.64,1.65,1.65
219,2019,1.4725,1.71,1.67,1.67,1.67,1.68
220,2020,2.2125,1.76,1.7,1.7,1.69,1.71
221,2021,,,1.72,1.73,1.71,1.74
222,2022,,,1.75,1.75,1.74,1.77
223,2023,,,1.77,1.78,1.76,1.8
224,2024,,,1.79,1.81,1.78,1.83
225,2025,,,1.82,1.84,1.8,1.86
226,2026,,,1.84,1.86,1.82,1.89
227,2027,,,1.87,1.89,1.84,1.92
228,2028,,,1.89,1.91,1.87,1.95
229,2029,,,1.92,1.94,1.89,1.98
230,2030,,,1.95,1.96,1.92,2.01
231,2031,,,1.97,1.99,1.95,2.03
232,2032,,,1.99,2.01,1.97,2.07
233,2033,,,2.02,2.04,2.0,2.1
234,2034,,,2.03,2.07,2.03,2.13
235,2035,,,2.05,2.1,2.06,2.16
236,2036,,,2.07,2.12,2.09,2.19
237,2037,,,2.09,2.15,2.13,2.23
238,2038,,,2.11,2.18,2.16,2.26
239,2039,,,2.13,2.2,2.19,2.31
240,2040,,,2.14,2.21,2.23,2.35
241,2041,,,2.15,2.23,2.26,2.39
242,2042,,,2.17,2.25,2.29,2.42
243,2043,,,2.18,2.27,2.32,2.46
244,2044,,,2.19,2.29,2.35,2.5
245,2045,,,2.21,2.31,2.39,2.54
246,2046,,,2.22,2.33,2.43,2.58
247,2047,,,2.22,2.35,2.46,2.62
248,2048,,,2.22,2.37,2.5,2.66
249,2049,,,2.23,2.39,2.53,2.7
250,2050,,,2.23,2.42,2.56,2.74
251,2051,,,2.23,2.45,2.59,2.78
252,2052,,,2.24,2.48,2.62,2.82
253,2053,,,2.24,2.5,2.65,2.87
254,2054,,,2.25,2.53,2.69,2.91
255,2055,,,2.25,2.55,2.72,2.95
256,2056,,,2.25,2.58,2.75,3.0
257,2057,,,2.26,2.6,2.79,3.04
258,2058,,,2.27,2.63,2.82,3.09
259,2059,,,2.27,2.65,2.85,3.13
260,2060,,,2.28,2.68,2.89,3.17
261,2061,,,2.28,2.7,2.92,3.22
262,2062,,,2.28,2.72,2.95,3.26
263,2063,,,2.29,2.74,2.99,3.3
264,2064,,,2.29,2.75,3.02,3.35
265,2065,,,2.3,2.77,3.06,3.39
266,2066,,,2.3,2.78,3.09,3.44
267,2067,,,2.3,2.8,3.12,3.48
268,2068,,,2.3,2.81,3.14,3.53
269,2069,,,2.3,2.82,3.18,3.58
270,2070,,,2.3,2.84,3.21,3.64
271,2071,,,2.31,2.85,3.25,3.69
272,2072,,,2.31,2.87,3.29,3.74
273,2073,,,2.31,2.88,3.33,3.79
274,2074,,,2.31,2.9,3.36,3.84
275,2075,,,2.32,2.91,3.4,3.9
276,2076,,,2.32,2.93,3.44,3.95
277,2077,,,2.32,2.95,3.48,4.0
278,2078,,,2.32,2.97,3.52,4.05
279,2079,,,2.32,2.98,3.56,4.1
280,2080,,,2.32,3.0,3.6,4.15
281,2081,,,2.32,3.02,3.64,4.19
282,2082,,,2.32,3.04,3.67,4.24
283,2083,,,2.32,3.05,3.72,4.29
284,2084,,,2.31,3.06,3.76,4.34
285,2085,,,2.31,3.08,3.8,4.39
286,2086,,,2.3,3.09,3.83,4.43
287,2087,,,2.3,3.1,3.87,4.48
288,2088,,,2.29,3.11,3.91,4.53
289,2089,,,2.28,3.11,3.95,4.58
290,2090,,,2.26,3.12,3.98,4.62
291,2091,,,2.25,3.13,4.01,4.67
292,2092,,,2.24,3.14,4.05,4.72
293,2093,,,2.23,3.15,4.08,4.77
294,2094,,,2.22,3.16,4.12,4.82
295,2095,,,2.22,3.16,4.15,4.87
296,2096,,,2.21,3.18,4.19,4.92
297,2097,,,2.2,3.18,4.23,4.96
298,2098,,,2.19,3.19,4.27,5.01
299,2099,,,2.18,3.2,4.3,5.05
300,2100,,,2.18,3.21,4.35,5.11
